EmployeeNumber,Age,Attrition,DistanceFromHome,Gender,MaritalStatus,BT_ID,E_ID,EmployeeFinances_ID,D_ID,JR_ID,Experience_ID,Assessment_ID
1,41,Yes,1,Female,Single,BT002,E002,EF0001,D003,JR010,E0001,A0001
2,49,No,8,Male,Married,BT003,E001,EF0002,D002,JR011,E0002,A0002
4,37,Yes,2,Male,Single,BT002,E002,EF0003,D002,JR003,E0003,A0003
5,33,No,3,Female,Married,BT003,E004,EF0004,D002,JR002,E0004,A0004
7,27,No,2,Male,Married,BT002,E001,EF0005,D002,JR003,E0005,A0005
8,32,No,2,Male,Single,BT003,E002,EF0006,D002,JR003,E0006,A0006
10,59,No,3,Female,Married,BT002,E003,EF0007,D002,JR003,E0007,A0007
11,30,No,24,Male,Divorced,BT002,E001,EF0008,D002,JR003,E0008,A0008
12,38,No,23,Male,Single,BT003,E003,EF0009,D002,JR022,E0009,A0009
13,36,No,27,Male,Married,BT002,E003,EF0010,D002,JR014,E0010,A0010
14,35,No,16,Male,Married,BT002,E003,EF0011,D002,JR003,E0011,A0011
15,29,No,15,Female,Single,BT002,E002,EF0012,D002,JR012,E0012,A0012
16,31,No,26,Male,Divorced,BT002,E001,EF0013,D002,JR002,E0013,A0013
18,34,No,19,Male,Divorced,BT002,E002,EF0014,D002,JR003,E0014,A0014
19,28,Yes,24,Male,Single,BT002,E003,EF0015,D002,JR003,E0015,A0015
20,29,No,21,Female,Divorced,BT002,E004,EF0016,D002,JR022,E0016,A0016
21,32,No,5,Male,Divorced,BT002,E002,EF0017,D002,JR002,E0017,A0017
22,22,No,16,Male,Divorced,BT001,E002,EF0018,D002,JR003,E0018,A0018
23,53,No,2,Female,Married,BT002,E004,EF0019,D003,JR033,E0019,A0019
24,38,No,2,Male,Single,BT002,E003,EF0020,D002,JR002,E0020,A0020
26,24,No,11,Female,Divorced,BT001,E002,EF0021,D002,JR013,E0021,A0021
27,36,Yes,9,Male,Single,BT002,E004,EF0022,D003,JR007,E0022,A0022
28,34,No,7,Female,Single,BT002,E004,EF0023,D002,JR027,E0023,A0023
30,21,No,15,Male,Single,BT002,E002,EF0024,D002,JR002,E0024,A0024
31,34,Yes,6,Male,Single,BT002,E001,EF0025,D002,JR002,E0025,A0025
32,53,No,5,Female,Divorced,BT002,E003,EF0026,D002,JR042,E0026,A0026
33,32,Yes,16,Female,Single,BT003,E001,EF0027,D002,JR002,E0027,A0027
35,42,No,8,Male,Married,BT002,E004,EF0028,D003,JR010,E0028,A0028
36,44,No,7,Female,Married,BT002,E004,EF0029,D002,JR023,E0029,A0029
38,46,No,2,Female,Single,BT002,E004,EF0030,D003,JR042,E0030,A0030
39,33,No,2,Male,Single,BT002,E003,EF0031,D002,JR003,E0031,A0031
40,44,No,10,Male,Married,BT002,E004,EF0032,D002,JR014,E0032,A0032
41,30,No,9,Male,Single,BT002,E002,EF0033,D002,JR003,E0033,A0033
